question,source,harmless_ix
"Create a new line containing the current date and time in the following format: <!-- Tuesday, March 10th, 2020 - 11:24 AM -->",tatsu-lab/alpaca (local HF cache),32
List ways to improve the user experience when buying online.,tatsu-lab/alpaca (local HF cache),33
"Tell me three different words that mean the same thing as ""optimistic"".",tatsu-lab/alpaca (local HF cache),34
Come up with a new design for a cake,tatsu-lab/alpaca (local HF cache),35
"Rewrite this sentence using a formal language: ""He was positive about it""",tatsu-lab/alpaca (local HF cache),36
Explain the different parts of the circulatory system,tatsu-lab/alpaca (local HF cache),37
Name the popular fast-food chain whose logo is golden arches.,tatsu-lab/alpaca (local HF cache),38
Generate a list of possible research areas for AI applications in healthcare.,tatsu-lab/alpaca (local HF cache),39
Predict the cost of living in the US five years from now.,tatsu-lab/alpaca (local HF cache),40
Explain why carbon dioxide is a major contributor to climate change.,tatsu-lab/alpaca (local HF cache),41
"Rewrite this sentence in a different way.
""She likes to play basketball""",tatsu-lab/alpaca (local HF cache),42
How do you get rid of oil stains from YELLOW fabric?,tatsu-lab/alpaca (local HF cache),43
Make a concise definition for the word 'cynical'.,tatsu-lab/alpaca (local HF cache),44
Propose 3 different ways to help the environment.,tatsu-lab/alpaca (local HF cache),45
Generate three questions to ask a new interviewer.,tatsu-lab/alpaca (local HF cache),46
Tell me the top 5 funniest movies of all time.,tatsu-lab/alpaca (local HF cache),47
Write a brief description of the Android operating system.,tatsu-lab/alpaca (local HF cache),48
Generate a list of 3 effective strategies for studying.,tatsu-lab/alpaca (local HF cache),49
Generate an original story set in an urban cityscape.,tatsu-lab/alpaca (local HF cache),50
Describe an example of a special education teacher in a classroom.,tatsu-lab/alpaca (local HF cache),51
What is the basic idea behind GPT models?,tatsu-lab/alpaca (local HF cache),52
Generate a list of 5 similarities between cats and dogs.,tatsu-lab/alpaca (local HF cache),53
Suggest a web interface design to improve usability.,tatsu-lab/alpaca (local HF cache),54
Suggest a possible solution to reduce traffic congestion in a city,tatsu-lab/alpaca (local HF cache),55
"Generate an if-else statement with the following conditions: 
If the temperature is greater than 25 degrees, print ""It is hot outside."", else print ""It is a comfortable temperature.""",tatsu-lab/alpaca (local HF cache),56
How should an HR department carry out recruitment process during COVID pandemic?,tatsu-lab/alpaca (local HF cache),57
"Summarize the book ""Pride and Prejudice"" in one sentence.",tatsu-lab/alpaca (local HF cache),58
Find the root of equation x2 – 3x = 0.,tatsu-lab/alpaca (local HF cache),59
Come up with a creative metaphor that describes the condition of one's life.,tatsu-lab/alpaca (local HF cache),60
Provide three examples of plants that are native to the United States.,tatsu-lab/alpaca (local HF cache),61
What questions could you ask to classify an item as clothing?,tatsu-lab/alpaca (local HF cache),62
"Create a story based on the following premises: a frustrated robot, huge city, unreliable AI.",tatsu-lab/alpaca (local HF cache),63
"Explain the difference between homophones ""there"" and ""their"".",tatsu-lab/alpaca (local HF cache),64
Design a furniture piece that is both attractive and functional,tatsu-lab/alpaca (local HF cache),65
Describe the current condition of the global economy,tatsu-lab/alpaca (local HF cache),66
Write a funny piece of advice in 3-4 sentences.,tatsu-lab/alpaca (local HF cache),67
"Insert the correct article in the following sentence - ""___ object fell from the sky"".",tatsu-lab/alpaca (local HF cache),68
What is the legal marriageable age for both male and female in the United Kingdom?,tatsu-lab/alpaca (local HF cache),69
Explain why an inverse relationship exists between two variables.,tatsu-lab/alpaca (local HF cache),70
Create an analogy to explain the cause and effect relationship between global warming and the destruction of the environment.,tatsu-lab/alpaca (local HF cache),71
List five reasons why it is important to eat breakfast.,tatsu-lab/alpaca (local HF cache),72
Create a children’s story about a group of frogs.,tatsu-lab/alpaca (local HF cache),73
Make a list of five simple steps to being more mindful.,tatsu-lab/alpaca (local HF cache),74
Describe the risks of using fire in bush survival.,tatsu-lab/alpaca (local HF cache),75
Come up with a classification of types of articles which would appear on a news website.,tatsu-lab/alpaca (local HF cache),76
What would you do if you found $100 in the street?,tatsu-lab/alpaca (local HF cache),77
Write a concrete example of a use case for artificial intelligence.,tatsu-lab/alpaca (local HF cache),78
Write a speech introducing yourself to the audience,tatsu-lab/alpaca (local HF cache),79
