activation_site,layer,fold,train_questions,test_questions,heldout_personas,n_train_personas,n_test_personas,auroc,balanced_accuracy,threshold
pre_mlp,19,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,2.1880961656570435
pre_mlp,19,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.888888888888889,0.7222222222222222,4.890578210353851
pre_mlp,20,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,1.9026341438293457
pre_mlp,20,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.888888888888889,0.7222222222222222,4.150487542152405
block_output,8,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.5333333333333333,0.3,70.9296989440918
block_output,8,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.7777777777777779,0.6666666666666666,81.26204299926758
block_output,9,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.5333333333333333,0.5,90.27634811401367
block_output,9,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.7777777777777779,0.6666666666666666,134.9167366027832
block_output,10,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.5333333333333333,0.5,167.49778747558594
block_output,10,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.7777777777777779,0.5,213.25162506103516
block_output,11,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6,0.6666666666666666,95.88012313842773
block_output,11,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.8148148148148149,0.5,205.1765899658203
block_output,12,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6,0.6666666666666666,213.90868377685547
block_output,12,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.8148148148148149,0.5,239.1014404296875
block_output,13,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6,0.4666666666666667,54.01609420776367
block_output,13,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.8148148148148149,0.5,226.69405364990234
block_output,14,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6,0.6333333333333333,274.1297836303711
block_output,14,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.8518518518518519,0.5,397.1208953857422
block_output,15,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,363.16981506347656
block_output,15,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.8518518518518519,0.5,444.7440948486328
block_output,16,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,679.6943054199219
block_output,16,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259259,0.6666666666666666,630.8140411376953
block_output,17,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.7333333333333333,0.5333333333333333,510.84960174560547
block_output,17,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259258,0.9444444444444444,608.3582458496094
block_output,18,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,985.3587951660156
block_output,18,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259258,0.8888888888888888,556.7689971923828
block_output,19,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6,0.5333333333333333,501.70553970336914
block_output,19,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.9259259259259259,0.7222222222222222,171.4695281982422
block_output,20,0,0|5|119,2|51|190,anarchist|bartender|comedian|consultant,8,3,0.6666666666666666,0.5333333333333333,1515.9214477539062
block_output,20,1,2|51|190,0|5|119,devils_advocate|engineer|genie|mediator,7,4,0.8518518518518519,0.6666666666666666,289.69691467285156
