prompt_ix,base_sequence_ix,passage_ix,source,role,target_sha256,target_tokens_total,target_tokens,skipped_initial_content_tokens,target_start_token_ix,rendered_tokens,filler_tokens,decoded_target_tokens_match
43,14,14,c4,assistant,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,801,32,116,919,76,False
44,14,14,c4,tool,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,801,32,113,917,76,False
45,15,15,c4,user,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,67,32,148,217,113,False
46,15,15,c4,assistant,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,67,32,153,222,113,False
47,15,15,c4,tool,b9d646a4e67f24d7efcc59171e6ae3fe135c93a226491c9ded6db963e01cf6e9,99,67,32,150,220,113,False
48,16,16,c4,user,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,242,32,35,279,0,False
49,16,16,c4,assistant,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,242,32,39,283,0,False
50,16,16,c4,tool,3e0bb5d890dd5eef4c1ec2db4cbb963fe27a34ff2cf43e58d4e83d6506bcba83,274,242,32,37,282,0,False
51,17,17,c4,user,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,403,32,97,502,62,False
52,17,17,c4,assistant,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,403,32,102,507,62,False
53,17,17,c4,tool,8e7b6b6a37b480ecbd4dfa8e655aabfba036d4d7ae5698fdca1f214297928356,435,403,32,99,505,62,False
54,18,18,c4,user,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,288,32,83,373,48,False
55,18,18,c4,assistant,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,288,32,88,378,48,False
56,18,18,c4,tool,d7c4d894f177418300746a3bfe27ccedbfe63d2a357055850445c69dda62c42b,320,288,32,85,376,48,False
57,19,19,c4,user,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,21,32,57,80,22,False
58,19,19,c4,assistant,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,21,32,62,85,22,False
59,19,19,c4,tool,a74ffd7fc5ce71c23d2480232af6b9a3b32b6c96abc2c57f6bc2c5cec2e40ed0,53,21,32,59,83,22,False
60,20,20,c4,user,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,268,32,43,313,8,False
61,20,20,c4,assistant,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,268,32,48,318,8,False
62,20,20,c4,tool,643a46c8119d3f5e6bb950f3037900465c8a175d2490e5d3f08003bd6c1a61da,300,268,32,45,316,8,False
63,21,21,c4,user,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,194,32,49,245,14,False
64,21,21,c4,assistant,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,194,32,54,250,14,False
65,21,21,c4,tool,483175adcc188ed9d04134a86af453aee221228ebd623dc0c129066dac8bd6f7,226,194,32,51,248,14,False
66,22,22,c4,user,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,21,32,55,78,20,False
67,22,22,c4,assistant,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,21,32,60,83,20,False
68,22,22,c4,tool,8e4451f7d66e7e0758a432ed3f459e6992af3713c59dc39739b5fdc0841a3ed0,53,21,32,57,81,20,False
69,23,23,c4,user,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,992,32,88,1082,53,True
70,23,23,c4,assistant,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,992,32,92,1086,53,True
71,23,23,c4,tool,658145f7f607f7958bcd0be10ef316a7cef0e2538eacd268e0de40022ddaec81,1024,992,32,90,1086,53,True
72,24,24,c4,user,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,169,32,46,217,11,False
73,24,24,c4,assistant,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,169,32,51,222,11,False
74,24,24,c4,tool,e4fdd68b8069258f6dc91b0f864885fafd04583bb8f35c9dc4a26cbe0f466307,201,169,32,48,220,11,False
75,25,25,c4,user,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,281,32,82,365,47,False
76,25,25,c4,assistant,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,281,32,87,370,47,False
77,25,25,c4,tool,f9fdd6d4f05af23a015260026a7d160120a69fd43ae5979f50cc67406bb42d62,313,281,32,84,368,47,False
78,26,26,c4,user,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,46,32,35,83,0,False
79,26,26,c4,assistant,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,46,32,39,87,0,False
80,26,26,c4,tool,3debefce01fb72438cddc79e1fc76cebe0df52ef097ce77d265d468393a1b2e3,78,46,32,37,86,0,False
81,27,27,c4,user,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,192,32,69,263,34,True
82,27,27,c4,assistant,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,192,32,74,268,34,True
83,27,27,c4,tool,47f50618cb775a1dfa26d2048bf7fa15929017242a8a21507b2350be94785ab5,224,192,32,71,267,34,True
84,28,28,c4,user,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,337,305,32,45,352,10,False
85,28,28,c4,assistant,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,337,305,32,50,357,10,False
86,28,28,c4,tool,f5c63edb15074f99a1a7510b77e57bf86359e8aebdcc7a126ff5d4ec2e572a4c,338,306,32,47,356,10,False
87,29,29,c4,user,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,992,32,37,1031,2,True
88,29,29,c4,assistant,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,992,32,42,1036,2,True
89,29,29,c4,tool,298ff77a4039578eb3513687749c381725167c45c292243c13aaca73edd79093,1024,992,32,39,1035,2,True
90,30,30,c4,user,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,6,32,45,53,10,False
91,30,30,c4,assistant,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,6,32,50,58,10,False
92,30,30,c4,tool,229624fb4fb3d119d5c9e3361e36e77ce0348fef553283fb4b333145649fdcf9,38,6,32,47,56,10,False
93,31,31,c4,user,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,37,32,76,115,41,False
94,31,31,c4,assistant,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,37,32,81,120,41,False
95,31,31,c4,tool,fac805589de77d13a504777cdbdf61e19b85f4ed5f981b3006f11007005aee7d,69,37,32,78,118,41,False
96,32,32,c4,user,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,246,32,53,301,18,False
97,32,32,c4,assistant,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,246,32,58,306,18,False
98,32,32,c4,tool,b3e27967b73ebe5cb5a4e5eed9ae9697bddca036ca92e241c3d342abab31aef2,278,246,32,55,304,18,False
99,33,33,c4,user,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,31,32,112,145,77,False
100,33,33,c4,assistant,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,31,32,116,149,77,False
101,33,33,c4,tool,14bc2cb9d79f94a3c77b163342b3fd0f522b44b1499fb3c8fb20bbbbc9f8b997,63,31,32,114,148,77,False
102,34,34,c4,user,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,15,32,78,95,43,False
103,34,34,c4,assistant,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,15,32,83,100,43,False
104,34,34,c4,tool,8fc95f7e00fbf229479bebcf78eb844593851d88e04a39477d64bb99ae4c44ee,47,15,32,80,98,43,False
105,35,35,c4,user,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,135,32,57,194,22,False
106,35,35,c4,assistant,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,135,32,62,199,22,False
107,35,35,c4,tool,e7aa5b6df92eb472c90c56e616fd240107ab96f63b875788741abcf4744bb9a5,167,135,32,59,197,22,False
108,36,36,c4,user,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,742,32,69,813,34,False
109,36,36,c4,assistant,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,742,32,74,818,34,False
110,36,36,c4,tool,2ff3d9e1139fe26fca326e6ec9e23424ecba247dcdb5a738577acd8f0e701719,774,742,32,71,816,34,False
111,37,37,c4,user,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,99,32,82,183,47,False
112,37,37,c4,assistant,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,99,32,87,188,47,False
113,37,37,c4,tool,e54bc6398fbad693d77066548516a3b2171c41ad8a0af9032cccca7fd7e64a54,131,99,32,84,186,47,False
114,38,38,c4,user,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,227,32,265,494,230,False
115,38,38,c4,assistant,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,227,32,270,499,230,False
116,38,38,c4,tool,c74236046a06696393305f8dd9726b1e49fb880990766fc853f3e2669beab9eb,259,227,32,267,497,230,False
117,39,39,c4,user,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,808,32,41,851,6,False
118,39,39,c4,assistant,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,808,32,45,855,6,False
119,39,39,c4,tool,196d205382964042f1b012885d4b05f39c97afe208a9ce8e92b5f73768ffeb63,840,808,32,43,854,6,False
120,40,40,c4,user,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,83,32,63,148,28,False
121,40,40,c4,assistant,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,83,32,68,153,28,False
122,40,40,c4,tool,98d1881120f004cd7123e4d54ad213a2bba6c6946793a4b653a296b824d3b782,115,83,32,65,151,28,False
123,41,41,c4,user,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,633,32,83,718,48,False
124,41,41,c4,assistant,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,633,32,88,723,48,False
125,41,41,c4,tool,2b08d9b4953c60368c37c8be9f5c3220cce48b3dc8124f1e47d10d0203bc8751,665,633,32,85,721,48,False
126,42,42,c4,user,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,416,32,53,471,18,False
127,42,42,c4,assistant,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,416,32,58,476,18,False
128,42,42,c4,tool,f061a90850552b4b7783fa487faff5849917807ef591c8c3e2c7b98d955d5b04,448,416,32,55,474,18,False
129,43,43,c4,user,c1a0af159f1ca1cb3bbb230daff94ec27166735d594c491c04f4bb7b1953ae36,436,404,32,127,533,92,False
130,43,43,c4,assistant,c1a0af159f1ca1cb3bbb230daff94ec27166735d594c491c04f4bb7b1953ae36,436,404,32,132,538,92,False
131,43,43,c4,tool,c1a0af159f1ca1cb3bbb230daff94ec27166735d594c491c04f4bb7b1953ae36,436,404,32,129,536,92,False
132,44,44,c4,user,f85778a034be4bf12cac3f836b70fd9f4ba1b6632bfe1659bceec6b8933e5838,511,479,32,82,563,47,False
133,44,44,c4,assistant,f85778a034be4bf12cac3f836b70fd9f4ba1b6632bfe1659bceec6b8933e5838,511,479,32,86,567,47,False
134,44,44,c4,tool,f85778a034be4bf12cac3f836b70fd9f4ba1b6632bfe1659bceec6b8933e5838,511,479,32,84,566,47,False
135,45,45,c4,user,69b9afaccedb9a8ca82437d6a9324f9dc5ea96b0102f7ee6cd9a48277e6bc67c,166,134,32,72,208,37,False
136,45,45,c4,assistant,69b9afaccedb9a8ca82437d6a9324f9dc5ea96b0102f7ee6cd9a48277e6bc67c,166,134,32,77,213,37,False
137,45,45,c4,tool,69b9afaccedb9a8ca82437d6a9324f9dc5ea96b0102f7ee6cd9a48277e6bc67c,166,134,32,74,211,37,False
138,46,46,c4,user,3b6b399ee5371a824d65d110eb7c01b12c095ed2500b66c0ed2a80a9c2683489,562,530,32,92,624,57,False
139,46,46,c4,assistant,3b6b399ee5371a824d65d110eb7c01b12c095ed2500b66c0ed2a80a9c2683489,562,530,32,97,629,57,False
140,46,46,c4,tool,3b6b399ee5371a824d65d110eb7c01b12c095ed2500b66c0ed2a80a9c2683489,562,530,32,94,627,57,False
141,47,47,c4,user,e897dfc6c38fba6fdf793b3d7c2dbe3c4433f0dfed20833d9de542ec3e33efb9,432,400,32,51,453,16,False
142,47,47,c4,assistant,e897dfc6c38fba6fdf793b3d7c2dbe3c4433f0dfed20833d9de542ec3e33efb9,432,400,32,56,458,16,False
143,47,47,c4,tool,e897dfc6c38fba6fdf793b3d7c2dbe3c4433f0dfed20833d9de542ec3e33efb9,432,400,32,53,456,16,False
144,48,48,c4,user,f67b0e3a402cb28e8a99941d0bed1b4d071407051b31770c367a0d9d8e2ea0f9,406,374,32,56,432,21,False
145,48,48,c4,assistant,f67b0e3a402cb28e8a99941d0bed1b4d071407051b31770c367a0d9d8e2ea0f9,406,374,32,61,437,21,False
146,48,48,c4,tool,f67b0e3a402cb28e8a99941d0bed1b4d071407051b31770c367a0d9d8e2ea0f9,406,374,32,58,435,21,False
147,49,49,c4,user,08f877b33b6e486a7ba4765649feb5fadcf14d7ebea2b0e7cc5ff53266fe8b96,384,352,32,36,390,1,False
148,49,49,c4,assistant,08f877b33b6e486a7ba4765649feb5fadcf14d7ebea2b0e7cc5ff53266fe8b96,384,352,32,41,395,1,False
149,49,49,c4,tool,08f877b33b6e486a7ba4765649feb5fadcf14d7ebea2b0e7cc5ff53266fe8b96,384,352,32,38,393,1,False
150,50,50,c4,user,7b72d99857ddd465bb34d825da42f7eb2b54b620d6118250aded52081b2df793,1024,992,32,40,1034,5,True
151,50,50,c4,assistant,7b72d99857ddd465bb34d825da42f7eb2b54b620d6118250aded52081b2df793,1024,992,32,45,1039,5,True
152,50,50,c4,tool,7b72d99857ddd465bb34d825da42f7eb2b54b620d6118250aded52081b2df793,1024,992,32,42,1038,5,True
153,51,51,c4,user,bb27d7bd690328c9102f0e77bb022b4cdef3bf7ebe87ffd28fc3a31eed64d990,96,64,32,35,101,0,False
154,51,51,c4,assistant,bb27d7bd690328c9102f0e77bb022b4cdef3bf7ebe87ffd28fc3a31eed64d990,96,64,32,39,105,0,False
155,51,51,c4,tool,bb27d7bd690328c9102f0e77bb022b4cdef3bf7ebe87ffd28fc3a31eed64d990,96,64,32,37,104,0,False
156,52,52,c4,user,60891ca0489da80c00ce65a658f2f7ae0dca874e3fddd2a21f17ed546c9b296e,685,653,32,73,728,38,False
157,52,52,c4,assistant,60891ca0489da80c00ce65a658f2f7ae0dca874e3fddd2a21f17ed546c9b296e,685,653,32,77,732,38,False
158,52,52,c4,tool,60891ca0489da80c00ce65a658f2f7ae0dca874e3fddd2a21f17ed546c9b296e,685,653,32,75,731,38,False
159,53,53,c4,user,ae4194aca98111f9284b262c7cc5a8f001fbcd5bb539855b8a46a201bcb7a9df,44,12,32,66,80,31,False
160,53,53,c4,assistant,ae4194aca98111f9284b262c7cc5a8f001fbcd5bb539855b8a46a201bcb7a9df,44,12,32,71,85,31,False
161,53,53,c4,tool,ae4194aca98111f9284b262c7cc5a8f001fbcd5bb539855b8a46a201bcb7a9df,44,12,32,68,83,31,False
162,54,54,c4,user,a22eb3c5523a8781e3b24e0b3d508e7e1a7a430526a949fd2e99ddbef755cb36,104,72,32,149,223,114,False
163,54,54,c4,assistant,a22eb3c5523a8781e3b24e0b3d508e7e1a7a430526a949fd2e99ddbef755cb36,104,72,32,154,228,114,False
164,54,54,c4,tool,a22eb3c5523a8781e3b24e0b3d508e7e1a7a430526a949fd2e99ddbef755cb36,104,72,32,151,226,114,False
165,55,55,c4,user,1d7cfc194e52eb7842918fd07314293a717ec5a190ebbe8110fa995466fdd653,1024,992,32,84,1078,49,True
166,55,55,c4,assistant,1d7cfc194e52eb7842918fd07314293a717ec5a190ebbe8110fa995466fdd653,1024,992,32,89,1083,49,True
167,55,55,c4,tool,1d7cfc194e52eb7842918fd07314293a717ec5a190ebbe8110fa995466fdd653,1024,992,32,86,1082,49,True
168,56,56,c4,user,2c23cfb5055cb83cfcb0a152fb6485c0af07287839fe3548e0f4d47e1ef28198,67,35,32,117,154,82,False
169,56,56,c4,assistant,2c23cfb5055cb83cfcb0a152fb6485c0af07287839fe3548e0f4d47e1ef28198,67,35,32,122,159,82,False
170,56,56,c4,tool,2c23cfb5055cb83cfcb0a152fb6485c0af07287839fe3548e0f4d47e1ef28198,67,35,32,119,157,82,False
171,57,57,c4,user,4d62aeae95916cd6418bc34d860af594f65b4b5b50842906f323a19e1f225363,121,89,32,42,133,7,False
172,57,57,c4,assistant,4d62aeae95916cd6418bc34d860af594f65b4b5b50842906f323a19e1f225363,121,89,32,47,138,7,False
173,57,57,c4,tool,4d62aeae95916cd6418bc34d860af594f65b4b5b50842906f323a19e1f225363,121,89,32,44,136,7,False
174,58,58,c4,user,42f7a7949ad95ae9ac7f0ec08dae75abd7b0dc532bb8117145de31c73321fa04,459,427,32,35,464,0,False
175,58,58,c4,assistant,42f7a7949ad95ae9ac7f0ec08dae75abd7b0dc532bb8117145de31c73321fa04,459,427,32,39,468,0,False
176,58,58,c4,tool,42f7a7949ad95ae9ac7f0ec08dae75abd7b0dc532bb8117145de31c73321fa04,459,427,32,37,467,0,False
177,59,59,c4,user,6bcc3dace2d425ed30979a40f1022728e51323bd21936ef6c22ce56288aed6ac,55,23,32,75,100,40,False
178,59,59,c4,assistant,6bcc3dace2d425ed30979a40f1022728e51323bd21936ef6c22ce56288aed6ac,55,23,32,79,104,40,False
179,59,59,c4,tool,6bcc3dace2d425ed30979a40f1022728e51323bd21936ef6c22ce56288aed6ac,55,23,32,77,103,40,False
180,60,60,c4,user,5df716e88269eefb38e232e867aaa02fe7c29c6a5b869030031a2a8f39c2ee4c,450,418,32,87,507,52,False
181,60,60,c4,assistant,5df716e88269eefb38e232e867aaa02fe7c29c6a5b869030031a2a8f39c2ee4c,450,418,32,92,512,52,False
182,60,60,c4,tool,5df716e88269eefb38e232e867aaa02fe7c29c6a5b869030031a2a8f39c2ee4c,450,418,32,89,510,52,False
183,61,61,c4,user,b5a5efa0775be379ec3e978313a64ba7b6140f8740129c25635c86bd62b8a24c,171,139,32,35,176,0,False
184,61,61,c4,assistant,b5a5efa0775be379ec3e978313a64ba7b6140f8740129c25635c86bd62b8a24c,171,139,32,39,180,0,False
185,61,61,c4,tool,b5a5efa0775be379ec3e978313a64ba7b6140f8740129c25635c86bd62b8a24c,171,139,32,37,179,0,False
186,62,62,dolma3,user,4c9a5b5ea8ed48481591b8997ca5c38c24e0dd82c336b77c3652ec75e4f26c4c,435,403,32,34,439,0,False
187,62,62,dolma3,assistant,4c9a5b5ea8ed48481591b8997ca5c38c24e0dd82c336b77c3652ec75e4f26c4c,435,403,32,38,443,0,False
188,62,62,dolma3,tool,4c9a5b5ea8ed48481591b8997ca5c38c24e0dd82c336b77c3652ec75e4f26c4c,435,403,32,36,443,0,False
189,63,63,dolma3,user,8cdf244994c48a33a227a1e0d934b949667b31f428179cd56c40361f69e6819e,383,351,32,252,605,217,False
190,63,63,dolma3,assistant,8cdf244994c48a33a227a1e0d934b949667b31f428179cd56c40361f69e6819e,383,351,32,257,610,217,False
191,63,63,dolma3,tool,8cdf244994c48a33a227a1e0d934b949667b31f428179cd56c40361f69e6819e,383,351,32,254,608,217,False
192,64,64,dolma3,user,4e121e12e4c11a8ef3f4febe71d64952c8eedc98e399b83411befe66fe785337,452,420,32,35,457,0,True
193,64,64,dolma3,assistant,4e121e12e4c11a8ef3f4febe71d64952c8eedc98e399b83411befe66fe785337,452,420,32,39,461,0,True
194,64,64,dolma3,tool,4e121e12e4c11a8ef3f4febe71d64952c8eedc98e399b83411befe66fe785337,452,420,32,37,461,0,True
195,65,65,dolma3,user,9b729a46ef6f0f9b0ca28d82b2169dfc4d640799d79b71c7b50c46b840fa7487,350,318,32,79,399,44,True
196,65,65,dolma3,assistant,9b729a46ef6f0f9b0ca28d82b2169dfc4d640799d79b71c7b50c46b840fa7487,350,318,32,84,404,44,True
197,65,65,dolma3,tool,9b729a46ef6f0f9b0ca28d82b2169dfc4d640799d79b71c7b50c46b840fa7487,350,318,32,81,403,44,True
198,66,66,dolma3,user,8e3c281518955797e070600ce2deb1e4989b8ebb7be0a5a51bebefcbe316c407,794,762,32,95,859,60,True
